signal,SampleEndYear,n_in,n_out,ret_in,ret_out,sharpe_in,sharpe_out,t_in,t_out,ret_decay
AM,1990,474,408,0.024105213743016204,0.008056970320913433,0.1785689093855964,0.036107421855323486,1.0294025606345714,0.1775523992438062,-0.016048243422102773
AbnormalAccruals,1992,246,384,0.0685446854248676,0.0180689034804752,0.762636680547173,0.12989600964809292,3.2418186777550755,0.6389923004653885,-0.050475781944392395
Accruals,1991,474,396,0.06712916941311428,0.018941863631970972,0.5958814455017636,0.16705463627861,3.786611174357138,0.9607089892190981,-0.04818730578114331
Activism1,2001,135,62,0.04430931426353503,-0.03673903166089672,0.39261019790360585,-0.3861604977144117,1.8503049628458335,-1.3305997389836302,-0.08104834592443175
AnalystRevision,1980,58,528,0.07356545083407907,0.05325890586012458,0.8159482867164218,0.4345343673033143,1.381205811188777,3.029515717092521,-0.020306544973954496
AnnouncementReturn,1992,256,384,0.16068522484887351,0.11746826943200173,1.636344671784914,0.8697716521146872,8.227618029739338,5.054445283761591,-0.04321695541687179
AssetGrowth,2003,618,252,0.06302206074268026,0.00035830053438136905,0.45827114645837996,0.0027221353836410617,3.047804761676166,0.010684020558597698,-0.06266376020829889
BM,1976,306,576,0.059747162491703656,0.055764373358243816,0.42772740880985566,0.34455447287866925,2.077431750098094,2.0469285285941132,-0.003982789133459841
BMdec,1990,462,408,0.0652035075770398,-0.01949637062111451,0.44746682671111976,-0.13975307368439158,2.6700991619925394,-0.7002274486523822,-0.0846998781981543
BPEBM,2001,474,276,0.01912502518680112,0.011894679299562423,0.2596487593557819,0.12497627911882854,1.7669747099461182,0.6909228090804892,-0.007230345887238697
BetaLiquidityPS,1999,433,300,0.01919146080020387,0.020515271819733713,0.1480099384606248,0.16920844498246154,0.7790603514995613,0.8299916783443104,0.0013238110195298441
BetaTailRisk,2010,948,168,0.05855477555998798,0.1068190019188151,0.2838153700011414,0.4895873929286051,2.6104377622493904,1.6170069472988673,0.04826422635882712
BookLeverage,1990,474,408,-0.02801545369441215,-0.027055050589220746,-0.2727990336296598,-0.14320131080065576,-1.6270609116066765,-0.7784803557457257,0.0009604031051914028
CBOperProf,2014,630,120,0.058428661454987735,0.07523005180627128,0.46681126276980883,0.4021343964296419,2.9913868550594445,1.5080749522191101,0.016801390351283543
CF,1990,474,408,0.07704476979120949,0.023582172311353494,0.49819879261420735,0.1137007626471578,2.9615939836160012,0.6796824671784711,-0.05346259747985599
CPVolSpread,2004,107,217,0.19249073810243106,0.11473498322859182,1.3480004877292302,1.0557524495044568,3.7647253019611644,4.689605239844999,-0.07775575487383923
Cash,2009,459,180,0.04798118021281757,0.05393914125412029,0.23706908269639904,0.2518167643582674,1.5649091264148574,0.7999567754237561,0.005957961041302723
CashProd,2003,636,252,0.009055150661193449,-0.015649562107693762,0.0635907837090926,-0.1367335515914257,0.4010304559017383,-0.5577998202373461,-0.02470471276888721
